STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Andaman & Nicobar Islands,Nicobars,Nicobars
Andaman & Nicobar Islands,Nicobars,Car Nicobar
Andaman & Nicobar Islands,Nicobars,Nancowry
Andaman & Nicobar Islands,Nicobars,Great Nicobar
Andaman & Nicobar Islands,North  & Middle Andaman,North  & Middle Andaman
Andaman & Nicobar Islands,North  & Middle Andaman,Diglipur
Andaman & Nicobar Islands,North  & Middle Andaman,Mayabunder
Andaman & Nicobar Islands,North  & Middle Andaman,Ranga
Andaman & Nicobar Islands,South Andaman,South Andaman
Andaman & Nicobar Islands,South Andaman,Ferrargunj
Andaman & Nicobar Islands,South Andaman,Port Blair
Andaman & Nicobar Islands,South Andaman,Little Andaman
