STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Bihar,Pashchim Champaran,Pashchim Champaran
Bihar,Pashchim Champaran,Sidhaw
Bihar,Pashchim Champaran,Ramnagar
Bihar,Pashchim Champaran,Gaunaha
Bihar,Pashchim Champaran,Mainatanr
Bihar,Pashchim Champaran,Narkatiaganj
Bihar,Pashchim Champaran,Lauriya
Bihar,Pashchim Champaran,Bagaha
Bihar,Pashchim Champaran,Piprasi
Bihar,Pashchim Champaran,Madhubani
Bihar,Pashchim Champaran,Bhitaha
Bihar,Pashchim Champaran,Thakrahan
Bihar,Pashchim Champaran,Jogapatti
Bihar,Pashchim Champaran,Chanpatia
Bihar,Pashchim Champaran,Sikta
Bihar,Pashchim Champaran,Majhaulia
Bihar,Pashchim Champaran,Bettiah
Bihar,Pashchim Champaran,Bairia
Bihar,Pashchim Champaran,Nautan
Bihar,Purba Champaran,Purba Champaran
Bihar,Purba Champaran,Raxaul
Bihar,Purba Champaran,Adapur
Bihar,Purba Champaran,Ramgarhwa
Bihar,Purba Champaran,Sugauli
Bihar,Purba Champaran,Banjaria
Bihar,Purba Champaran,Narkatia
Bihar,Purba Champaran,Bankatwa
Bihar,Purba Champaran,Ghorasahan
Bihar,Purba Champaran,Dhaka
Bihar,Purba Champaran,Chiraia
Bihar,Purba Champaran,Motihari
Bihar,Purba Champaran,Turkaulia
Bihar,Purba Champaran,Harsidhi
Bihar,Purba Champaran,Paharpur
Bihar,Purba Champaran,Areraj
Bihar,Purba Champaran,Sangrampur
Bihar,Purba Champaran,Kesaria
Bihar,Purba Champaran,Kalyanpur
Bihar,Purba Champaran,Kotwa
Bihar,Purba Champaran,Piprakothi
Bihar,Purba Champaran,Chakia(Pipra
Bihar,Purba Champaran,Pakri Dayal
Bihar,Purba Champaran,Patahi
Bihar,Purba Champaran,Phenhara
Bihar,Purba Champaran,Madhuban
Bihar,Purba Champaran,Tetaria
Bihar,Purba Champaran,Mehsi
Bihar,Sheohar,Sheohar
Bihar,Sheohar,Purnahiya
Bihar,Sheohar,Piprarhi
Bihar,Sheohar,Dumri Katsari
Bihar,Sheohar,Tariani Chowk
Bihar,Sitamarhi,Sitamarhi
Bihar,Sitamarhi,Bairgania
Bihar,Sitamarhi,Suppi
Bihar,Sitamarhi,Majorganj
Bihar,Sitamarhi,Sonbarsa
Bihar,Sitamarhi,Parihar
Bihar,Sitamarhi,Sursand
Bihar,Sitamarhi,Bathnaha
Bihar,Sitamarhi,Riga
Bihar,Sitamarhi,Parsauni
Bihar,Sitamarhi,Belsand
Bihar,Sitamarhi,Runisaidpur
Bihar,Sitamarhi,Dumra
Bihar,Sitamarhi,Bajpatti
Bihar,Sitamarhi,Charau
Bihar,Sitamarhi,Pupri
Bihar,Sitamarhi,Nanpur
Bihar,Sitamarhi,Bokhara
Bihar,Madhubani,Madhubani
Bihar,Madhubani,Madhwapur
Bihar,Madhubani,Harlakhi
Bihar,Madhubani,Basopatti
Bihar,Madhubani,Jainagar
Bihar,Madhubani,Ladania
Bihar,Madhubani,Laukaha
Bihar,Madhubani,Laukahi
Bihar,Madhubani,Phulparas
Bihar,Madhubani,Babubarhi
Bihar,Madhubani,Khajauli
Bihar,Madhubani,Kaluahi
Bihar,Madhubani,Benipatti
Bihar,Madhubani,Bisfi
Bihar,Madhubani,Pandaul
Bihar,Madhubani,Rajnagar
Bihar,Madhubani,Andhratharhi
Bihar,Madhubani,Jhanjharpur
Bihar,Madhubani,Ghoghardiha
Bihar,Madhubani,Lakhnaur
Bihar,Madhubani,Madhepur
Bihar,Supaul,Supaul
Bihar,Supaul,Nirmali
Bihar,Supaul,Basantpur
Bihar,Supaul,Chhatapur
Bihar,Supaul,Pratapganj
Bihar,Supaul,Raghopur
Bihar,Supaul,Saraigarh Bhaptiyahi
Bihar,Supaul,Kishanpur
Bihar,Supaul,Marauna
Bihar,Supaul,Pipra
Bihar,Supaul,Tribeniganj
Bihar,Araria,Araria
Bihar,Araria,Narpatganj
Bihar,Araria,Forbesganj
Bihar,Araria,Bhargama
Bihar,Araria,Raniganj
Bihar,Araria,Kursakatta
Bihar,Araria,Sikti
Bihar,Araria,Palasi
Bihar,Araria,Jokiha
Bihar,Kishanganj,Kishanganj
Bihar,Kishanganj,Terhagachh
Bihar,Kishanganj,Dighalbank
Bihar,Kishanganj,Thakurganj
Bihar,Kishanganj,Pothia
Bihar,Kishanganj,Bahadurganj
Bihar,Kishanganj,Kochadhamin
Bihar,Purnia,Purnia
Bihar,Purnia,Banmankhi
Bihar,Purnia,Barhara
Bihar,Purnia,Bhawanipur
Bihar,Purnia,Rupauli
Bihar,Purnia,Dhamdaha
Bihar,Purnia,Krityanand Nagar
Bihar,Purnia,Purnia Eas
Bihar,Purnia,Kasba
Bihar,Purnia,Srinagar
Bihar,Purnia,Jalalgarh
Bihar,Purnia,Amour
Bihar,Purnia,Baisa
Bihar,Purnia,Baisi
Bihar,Purnia,Dagarua
Bihar,Katihar,Katihar
Bihar,Katihar,Falka
Bihar,Katihar,Korha
Bihar,Katihar,Hasanganj
Bihar,Katihar,Kadwa
Bihar,Katihar,Balrampur
Bihar,Katihar,Barsoi
Bihar,Katihar,Azamnagar
Bihar,Katihar,Pranpur
Bihar,Katihar,Dandkhora
Bihar,Katihar,Mansahi
Bihar,Katihar,Barari
Bihar,Katihar,Sameli
Bihar,Katihar,Kursela
Bihar,Katihar,Manihari
Bihar,Katihar,Amdabad
Bihar,Madhepura,Madhepura
Bihar,Madhepura,Gamharia
Bihar,Madhepura,Singheshwar
Bihar,Madhepura,Ghailarh
Bihar,Madhepura,Shankarpur
Bihar,Madhepura,Kumarkhand
Bihar,Madhepura,Murliganj
Bihar,Madhepura,Gwalpara
Bihar,Madhepura,Bihariganj
