STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Gujarat,Kachchh,Kachchh
Gujarat,Kachchh,Lakhpa
Gujarat,Kachchh,Rapar
Gujarat,Kachchh,Bhachau
Gujarat,Kachchh,Anjar
Gujarat,Kachchh,Bhuj
Gujarat,Kachchh,Nakhatrana
Gujarat,Kachchh,Abdasa
Gujarat,Kachchh,Mandvi
Gujarat,Kachchh,Mundra
Gujarat,Kachchh,Gandhidham
Gujarat,Banas Kantha,Banas Kantha
Gujarat,Banas Kantha,Vav
Gujarat,Banas Kantha,Tharad
Gujarat,Banas Kantha,Dhanera
Gujarat,Banas Kantha,Dantiwada
Gujarat,Banas Kantha,Amirgadh
Gujarat,Banas Kantha,Danta
Gujarat,Banas Kantha,Vadgam
Gujarat,Banas Kantha,Palanpur
Gujarat,Banas Kantha,Deesa
Gujarat,Banas Kantha,Deodar
Gujarat,Banas Kantha,Bhabhar
Gujarat,Banas Kantha,Kankrej
Gujarat,Patan,Patan
Gujarat,Patan,Santalpur
Gujarat,Patan,Radhanpur
Gujarat,Patan,Sidhpur
Gujarat,Patan,Patan
Gujarat,Patan,Harij
Gujarat,Patan,Sami
Gujarat,Patan,Chanasma
Gujarat,Mahesana,Mahesana
Gujarat,Mahesana,Satlasana
Gujarat,Mahesana,Kheralu
Gujarat,Mahesana,Unjha
Gujarat,Mahesana,Visnagar
Gujarat,Mahesana,Vadnagar
Gujarat,Mahesana,Vijapur
Gujarat,Mahesana,Becharaji
Gujarat,Mahesana,Kadi
Gujarat,Sabar Kantha,Sabar Kantha
Gujarat,Sabar Kantha,Khedbrahma
Gujarat,Sabar Kantha,Vijaynagar
Gujarat,Sabar Kantha,Vadali
Gujarat,Sabar Kantha,Idar
Gujarat,Sabar Kantha,Bhiloda
Gujarat,Sabar Kantha,Meghraj
Gujarat,Sabar Kantha,Himatnagar
Gujarat,Sabar Kantha,Prantij
Gujarat,Sabar Kantha,Talod
Gujarat,Sabar Kantha,Modasa
Gujarat,Sabar Kantha,Dhansura
Gujarat,Sabar Kantha,Malpur
Gujarat,Sabar Kantha,Bayad
Gujarat,Gandhinagar,Gandhinagar
Gujarat,Gandhinagar,Kalol
