STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Himachal Pradesh,Chamba,Chamba
Himachal Pradesh,Chamba,Pangi
Himachal Pradesh,Chamba,Chaurah
Himachal Pradesh,Chamba,Saluni
Himachal Pradesh,Chamba,Bhalai
Himachal Pradesh,Chamba,Dalhousie
Himachal Pradesh,Chamba,Bhattiya
Himachal Pradesh,Chamba,Sihunta
Himachal Pradesh,Chamba,Holi
Himachal Pradesh,Chamba,Brahmaur
Himachal Pradesh,Kangra,Kangra
Himachal Pradesh,Kangra,Nurpur
Himachal Pradesh,Kangra,Indora
Himachal Pradesh,Kangra,Fatehpur
Himachal Pradesh,Kangra,Jawali
Himachal Pradesh,Kangra,Harchakian
Himachal Pradesh,Kangra,Shahpur
Himachal Pradesh,Kangra,Dharmsala
Himachal Pradesh,Kangra,Nagrota Bagwan
Himachal Pradesh,Kangra,Baroh
Himachal Pradesh,Kangra,Dera Gopipur
Himachal Pradesh,Kangra,Jawalamukhi
Himachal Pradesh,Kangra,Jaswan
Himachal Pradesh,Kangra,Rakkar
Himachal Pradesh,Kangra,Khundian
Himachal Pradesh,Kangra,Thural
Himachal Pradesh,Kangra,Dhira
Himachal Pradesh,Kangra,Jaisinghpur
Himachal Pradesh,Kangra,Palampur
Himachal Pradesh,Kangra,Baijnath
Himachal Pradesh,Kangra,Multhan
Himachal Pradesh,Lahul & Spiti,Lahul & Spiti
Himachal Pradesh,Lahul & Spiti,Udaipur
Himachal Pradesh,Lahul & Spiti,Lahul
Himachal Pradesh,Lahul & Spiti,Spiti
Himachal Pradesh,Kullu,Kullu
Himachal Pradesh,Kullu,Manali
Himachal Pradesh,Kullu,Sainj
Himachal Pradesh,Kullu,Banjar
Himachal Pradesh,Kullu,Ani
Himachal Pradesh,Kullu,Nermand
Himachal Pradesh,Mandi,Mandi
Himachal Pradesh,Mandi,Padhar
Himachal Pradesh,Mandi,Jogindarnagar
Himachal Pradesh,Mandi,Lad Bharol
Himachal Pradesh,Mandi,Sandhol
Himachal Pradesh,Mandi,Dharmpur
Himachal Pradesh,Mandi,Kotli
Himachal Pradesh,Mandi,Sarkagha
Himachal Pradesh,Mandi,Bhadrota
Himachal Pradesh,Mandi,Baldwara
Himachal Pradesh,Mandi,Sundarnagar
Himachal Pradesh,Mandi,Au
Himachal Pradesh,Mandi,Bali Chowki
Himachal Pradesh,Mandi,Thunag
Himachal Pradesh,Mandi,Chachyo
Himachal Pradesh,Mandi,Nihri
Himachal Pradesh,Mandi,Karsog
Himachal Pradesh,Hamirpur,Hamirpur
Himachal Pradesh,Hamirpur,Tira Sujanpur
Himachal Pradesh,Hamirpur,Nadaun
Himachal Pradesh,Hamirpur,Galore
Himachal Pradesh,Hamirpur,Barsar
Himachal Pradesh,Hamirpur,Dhatwal
Himachal Pradesh,Hamirpur,Bhoranj
Himachal Pradesh,Una,Una
Himachal Pradesh,Una,Bharwain
Himachal Pradesh,Una,Amb
Himachal Pradesh,Una,Bangana
Himachal Pradesh,Una,Haroli
Himachal Pradesh,Bilaspur,Bilaspur
Himachal Pradesh,Bilaspur,Ghumarwin
Himachal Pradesh,Bilaspur,Bharari
Himachal Pradesh,Bilaspur,Jhanduta
Himachal Pradesh,Bilaspur,Naina Devi
Himachal Pradesh,Bilaspur,Bilaspur Sadar
Himachal Pradesh,Bilaspur,Namhol
Himachal Pradesh,Solan,Solan
Himachal Pradesh,Solan,Arki
Himachal Pradesh,Solan,Darlagha
Himachal Pradesh,Solan,Ramshahr
Himachal Pradesh,Solan,Nalagarh
Himachal Pradesh,Solan,Baddi
Himachal Pradesh,Solan,Krishangarh
Himachal Pradesh,Solan,Kasauli
Himachal Pradesh,Solan,Kandagha
Himachal Pradesh,Sirmaur,Sirmaur
Himachal Pradesh,Sirmaur,Rajgarh
Himachal Pradesh,Sirmaur,Nohra
Himachal Pradesh,Sirmaur,Pachhad
Himachal Pradesh,Sirmaur,Renuka
Himachal Pradesh,Sirmaur,Dadahu
Himachal Pradesh,Sirmaur,Nahan
Himachal Pradesh,Sirmaur,Paonta Sahib
Himachal Pradesh,Sirmaur,Kamrau
Himachal Pradesh,Sirmaur,Shalai
Himachal Pradesh,Sirmaur,Ronha
Himachal Pradesh,Shimla,Shimla
Himachal Pradesh,Shimla,Rampur
Himachal Pradesh,Shimla,Nankhari
Himachal Pradesh,Shimla,Kumharsain
Himachal Pradesh,Shimla,Seoni
Himachal Pradesh,Shimla,Shimla (Rural)
Himachal Pradesh,Shimla,Shimla (Urban)
Himachal Pradesh,Shimla,Junga
Himachal Pradesh,Shimla,Theog
Himachal Pradesh,Shimla,Chaupal
Himachal Pradesh,Shimla,Cheta
Himachal Pradesh,Shimla,Nerua
Himachal Pradesh,Shimla,Jubbal
Himachal Pradesh,Shimla,Kotkhai
Himachal Pradesh,Shimla,Tikar
Himachal Pradesh,Shimla,Rohru
Himachal Pradesh,Shimla,Chirgaon
Himachal Pradesh,Shimla,Dodra Kwar
Himachal Pradesh,Kinnaur,Kinnaur
Himachal Pradesh,Kinnaur,Hangrang
Himachal Pradesh,Kinnaur,Poo
Himachal Pradesh,Kinnaur,Morang
Himachal Pradesh,Kinnaur,Kalpa
Himachal Pradesh,Kinnaur,Nichar
Himachal Pradesh,Kinnaur,Sangla
