STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Jammu & Kashmir,Kupwara,Kupwara
Jammu & Kashmir,Kupwara,Handwara
Jammu & Kashmir,Kupwara,Karnah
Jammu & Kashmir,Badgam,Badgam
Jammu & Kashmir,Badgam,Khag
Jammu & Kashmir,Badgam,Beerwah
Jammu & Kashmir,Badgam,Khansahib
Jammu & Kashmir,Badgam,Budgam
Jammu & Kashmir,Badgam,Chadoora
Jammu & Kashmir,Badgam,Charar- E- Shrief
Jammu & Kashmir,Leh(Ladakh),Leh(Ladakh
Jammu & Kashmir,Leh(Ladakh),Leh
Jammu & Kashmir,Leh(Ladakh),Nubra
Jammu & Kashmir,Leh(Ladakh),Khalsi
Jammu & Kashmir,Kargil,Kargil
Jammu & Kashmir,Kargil,Sanku
Jammu & Kashmir,Kargil,Zanskar
Jammu & Kashmir,Punch,Punch
Jammu & Kashmir,Punch,Haveli
Jammu & Kashmir,Punch,Mandi
Jammu & Kashmir,Punch,Mendhar
Jammu & Kashmir,Punch,Surankote
Jammu & Kashmir,Rajouri,Rajouri
Jammu & Kashmir,Rajouri,Thanamandi
Jammu & Kashmir,Rajouri,Darhal
Jammu & Kashmir,Rajouri,Rajauri
Jammu & Kashmir,Rajouri,Budhal
Jammu & Kashmir,Rajouri,Kalakote
Jammu & Kashmir,Rajouri,Nowshehra
Jammu & Kashmir,Rajouri,Sunderbani
Jammu & Kashmir,Kathua,Kathua
Jammu & Kashmir,Kathua,Billawar
Jammu & Kashmir,Kathua,Bashohli
Jammu & Kashmir,Kathua,Bani
Jammu & Kashmir,Kathua,Hiranagar
Jammu & Kashmir,Baramula,Baramula
Jammu & Kashmir,Baramula,Sopore
Jammu & Kashmir,Baramula,Rafiabad
Jammu & Kashmir,Baramula,Pattan
Jammu & Kashmir,Baramula,Baramulla
Jammu & Kashmir,Baramula,Kreeri
Jammu & Kashmir,Baramula,Uri
Jammu & Kashmir,Baramula,Boniyar
Jammu & Kashmir,Baramula,Tangmarg
Jammu & Kashmir,Bandipore,Bandipore
Jammu & Kashmir,Bandipore,Gurez
Jammu & Kashmir,Bandipore,Bandipora
Jammu & Kashmir,Bandipore,Sonawari
Jammu & Kashmir,Srinagar,Srinagar
Jammu & Kashmir,Srinagar,Srinagar (North
Jammu & Kashmir,Srinagar,Srinagar (South
Jammu & Kashmir,Ganderbal,Ganderbal
Jammu & Kashmir,Ganderbal,Lar
Jammu & Kashmir,Ganderbal,Kangan
Jammu & Kashmir,Pulwama,Pulwama
Jammu & Kashmir,Pulwama,Pampore
Jammu & Kashmir,Pulwama,Awantipora
Jammu & Kashmir,Pulwama,Tral
Jammu & Kashmir,Shupiyan,Shupiyan
Jammu & Kashmir,Shupiyan,Shopian
Jammu & Kashmir,Anantnag,Anantnag
Jammu & Kashmir,Anantnag,Pahalgam
Jammu & Kashmir,Anantnag,Bijbehara
Jammu & Kashmir,Anantnag,Shangus
Jammu & Kashmir,Anantnag,Kokernag
Jammu & Kashmir,Anantnag,Dooru
Jammu & Kashmir,Kulgam,Kulgam
Jammu & Kashmir,Kulgam, Devsar
Jammu & Kashmir,Kulgam,Damhal Hanjipora
Jammu & Kashmir,Doda,Doda
Jammu & Kashmir,Doda,Thathri
Jammu & Kashmir,Doda,Gandoh
Jammu & Kashmir,Doda,Bhaderwah
Jammu & Kashmir,Ramban,Ramban
Jammu & Kashmir,Ramban,Banihal
Jammu & Kashmir,Kishtwar,Kishtwar
Jammu & Kashmir,Kishtwar,Marwah
Jammu & Kashmir,Kishtwar,Chhatroo
Jammu & Kashmir,Kishtwar,Atholi (Paddar
Jammu & Kashmir,Udhampur,Udhampur
Jammu & Kashmir,Udhampur,Chenani
Jammu & Kashmir,Udhampur,Ramnagar
Jammu & Kashmir,Udhampur,Majalta
Jammu & Kashmir,Reasi,Reasi
Jammu & Kashmir,Reasi,Gool-Gulabgarh
Jammu & Kashmir,Jammu,Jammu
Jammu & Kashmir,Jammu,Akhnoor
Jammu & Kashmir,Jammu,Ranbir Singh Pora
Jammu & Kashmir,Jammu,Bishnah
Jammu & Kashmir,Samba,Samba
