STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Karnataka,Belgaum,Belgaum
Karnataka,Belgaum,Chikodi
Karnataka,Belgaum,Athni
Karnataka,Belgaum,Raybag
Karnataka,Belgaum,Gokak
Karnataka,Belgaum,Hukeri
Karnataka,Belgaum,Khanapur
Karnataka,Belgaum,Sampgaon
Karnataka,Belgaum,Parasgad
Karnataka,Belgaum,Ramdurg
Karnataka,Bagalkot,Bagalko
Karnataka,Bagalkot,Jamkhandi
Karnataka,Bagalkot,Bilgi
Karnataka,Bagalkot,Mudhol
Karnataka,Bagalkot,Badami
Karnataka,Bagalkot,Bagalko
Karnataka,Bagalkot,Hungund
Karnataka,Bijapur,Bijapur
Karnataka,Bijapur,Indi
Karnataka,Bijapur,Sindgi
Karnataka,Bijapur,Basavana Bagevadi
Karnataka,Bijapur,Muddebihal
Karnataka,Bidar,Bidar
Karnataka,Bidar,Basavakalyan
Karnataka,Bidar,Bhalki
Karnataka,Bidar,Aurad
Karnataka,Bidar,Bidar
Karnataka,Bidar,Homnabad
Karnataka,Raichur,Raichur
Karnataka,Raichur,Lingsugur
Karnataka,Raichur,Devadurga
Karnataka,Raichur,Raichur
Karnataka,Raichur,Manvi
Karnataka,Raichur,Sindhnur
Karnataka,Koppal,Koppal
Karnataka,Koppal,Yelbarga
Karnataka,Koppal,Kushtagi
Karnataka,Koppal,Gangawati
Karnataka,Koppal,Koppal
Karnataka,Gadag,Gadag
Karnataka,Gadag,Nargund
Karnataka,Gadag,Ron
Karnataka,Gadag,Shirhatti
Karnataka,Gadag,Mundargi
Karnataka,Dharwad,Dharwad
Karnataka,Dharwad,Navalgund
Karnataka,Dharwad,Hubli
Karnataka,Dharwad,Kalghatgi
Karnataka,Dharwad,Kundgol
Karnataka,Uttara Kannada,Uttara Kannada
Karnataka,Uttara Kannada,Karwar
Karnataka,Uttara Kannada,Supa
Karnataka,Uttara Kannada,Haliyal
Karnataka,Uttara Kannada,Yellapur
Karnataka,Uttara Kannada,Mundgod
Karnataka,Uttara Kannada,Sirsi
Karnataka,Uttara Kannada,Ankola
Karnataka,Uttara Kannada,Kumta
Karnataka,Uttara Kannada,Siddapur
Karnataka,Uttara Kannada,Honavar
Karnataka,Uttara Kannada,Bhatkal
Karnataka,Haveri,Haveri
Karnataka,Haveri,Shiggaon
Karnataka,Haveri,Savanur
Karnataka,Haveri,Hangal
Karnataka,Haveri,Haveri
Karnataka,Haveri,Byadgi
Karnataka,Haveri,Hirekerur
Karnataka,Haveri,Ranibennur
Karnataka,Bellary,Bellary
Karnataka,Bellary,Hadagalli
Karnataka,Bellary,Hagaribommanahalli
Karnataka,Bellary,Hospe
Karnataka,Bellary,Siruguppa
Karnataka,Bellary,Bellary
Karnataka,Bellary,Sandur
Karnataka,Bellary,Kudligi
Karnataka,Chitradurga,Chitradurga
Karnataka,Chitradurga,Molakalmuru
Karnataka,Chitradurga,Challakere
Karnataka,Chitradurga,Chitradurga
Karnataka,Chitradurga,Holalkere
Karnataka,Chitradurga,Hosdurga
Karnataka,Chitradurga,Hiriyur
Karnataka,Davanagere,Davanagere
Karnataka,Davanagere,Harihar
Karnataka,Davanagere,Harapanahalli
Karnataka,Davanagere,Jagalur
Karnataka,Davanagere,Davanagere
Karnataka,Davanagere,Honnali
Karnataka,Davanagere,Channagiri
Karnataka,Shimoga,Shimoga
Karnataka,Shimoga,Sagar
Karnataka,Shimoga,Sorab
Karnataka,Shimoga,Shikarpur
Karnataka,Shimoga,Hosanagara
Karnataka,Shimoga,Tirthahalli
Karnataka,Shimoga,Shimoga
Karnataka,Shimoga,Bhadravati
Karnataka,Udupi,Udupi
Karnataka,Udupi,Kundapura
Karnataka,Udupi,Karkal
Karnataka,Chikmagalur,Chikmagalur
Karnataka,Chikmagalur,Sringeri
Karnataka,Chikmagalur,Koppa
Karnataka,Chikmagalur,Narasimharajapura
Karnataka,Chikmagalur,Tarikere
Karnataka,Chikmagalur,Kadur
Karnataka,Chikmagalur,Chikmagalur
Karnataka,Chikmagalur,Mudigere
Karnataka,Tumkur,Tumkur
Karnataka,Tumkur,Chiknayakanhalli
Karnataka,Tumkur,Sira
Karnataka,Tumkur,Pavagada
Karnataka,Tumkur,Madhugiri
Karnataka,Tumkur,Koratagere
Karnataka,Tumkur,Tumkur
Karnataka,Tumkur,Gubbi
Karnataka,Tumkur,Tiptur
Karnataka,Tumkur,Turuvekere
Karnataka,Tumkur,Kunigal
Karnataka,Bangalore,Bangalore
Karnataka,Bangalore,Bangalore North
Karnataka,Bangalore,Bangalore South
Karnataka,Bangalore,Bangalore East
Karnataka,Bangalore,Anekal
Karnataka,Mandya,Mandya
Karnataka,Mandya,Krishnarajpe
Karnataka,Mandya,Nagamangala
Karnataka,Mandya,Pandavapura
Karnataka,Mandya,Shrirangapattana
Karnataka,Mandya,Mandya
Karnataka,Mandya,Maddur
Karnataka,Mandya,Malavalli
Karnataka,Hassan,Hassan
Karnataka,Hassan,Sakleshpur
Karnataka,Hassan,Belur
Karnataka,Hassan,Arsikere
Karnataka,Hassan,Hassan
Karnataka,Hassan,Alur
Karnataka,Hassan,Arkalgud
Karnataka,Hassan,Hole Narsipur
Karnataka,Hassan,Channarayapatna
Karnataka,Dakshina Kannada,Dakshina Kannada
Karnataka,Dakshina Kannada,Mangalore
Karnataka,Dakshina Kannada,Bantval
Karnataka,Dakshina Kannada,Beltangadi
Karnataka,Dakshina Kannada,Puttur
Karnataka,Dakshina Kannada,Sulya
Karnataka,Kodagu,Kodagu
Karnataka,Kodagu,Madikeri
Karnataka,Kodagu,Somvarpe
Karnataka,Kodagu,Virajpe
