STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Kerala,Kasaragod,Kasaragod
Kerala,Kasaragod,Hosdurg
Kerala,Kannur,Kannur
Kerala,Kannur,Taliparamba
Kerala,Kannur,Thalassery
Kerala,Wayanad,Wayanad
Kerala,Wayanad,Mananthavady
Kerala,Wayanad,Sulthanbathery
Kerala,Wayanad,Vythiri
Kerala,Kozhikode,Kozhikode
Kerala,Kozhikode,Vadakara
Kerala,Kozhikode,Quilandy
Kerala,Malappuram,Malappuram
Kerala,Malappuram,Ernad
Kerala,Malappuram,Nilambur
Kerala,Malappuram,Perinthalmanna
Kerala,Malappuram,Tirur
Kerala,Malappuram,Tirurangadi
Kerala,Malappuram,Ponnani
Kerala,Palakkad,Palakkad
Kerala,Palakkad,Ottappalam
Kerala,Palakkad,Mannarkad
Kerala,Palakkad,Chittur
Kerala,Palakkad,Alathur
Kerala,Thrissur,Thrissur
Kerala,Thrissur,Talappilly
Kerala,Thrissur,Chavakkad
Kerala,Thrissur,Kodungallur
Kerala,Thrissur,Mukundapuram
Kerala,Ernakulam,Ernakulam
Kerala,Ernakulam,Kunnathunad
Kerala,Ernakulam,Aluva
Kerala,Ernakulam,Paravur
Kerala,Ernakulam,Kochi
Kerala,Ernakulam,Kanayannur
Kerala,Ernakulam,Muvattupuzha
Kerala,Ernakulam,Kothamangalam
Kerala,Idukki,Idukki
Kerala,Idukki,Devikulam
Kerala,Idukki,Udumbanchola
Kerala,Idukki,Thodupuzha
Kerala,Idukki,Peerumade
Kerala,Kottayam,Kottayam
Kerala,Kottayam,Meenachil
Kerala,Kottayam,Vaikom
Kerala,Kottayam,Changanassery
Kerala,Kottayam,Kanjirappally
Kerala,Alappuzha,Alappuzha
Kerala,Alappuzha,Cherthala
Kerala,Alappuzha,Ambalappuzha
Kerala,Alappuzha,Kuttanad
Kerala,Alappuzha,Karthikappally
Kerala,Alappuzha,Chengannur
Kerala,Alappuzha,Mavelikkara
Kerala,Pathanamthitta,Pathanamthitta
Kerala,Pathanamthitta,Thiruvalla
Kerala,Pathanamthitta,Mallappally
Kerala,Pathanamthitta,Ranni
Kerala,Pathanamthitta,Kozhenchery
Kerala,Pathanamthitta,Adoor
Kerala,Kollam,Kollam
Kerala,Kollam,Karunagappally
Kerala,Kollam,Kunnathur
Kerala,Kollam,Pathanapuram
Kerala,Kollam,Kottarakkara
Kerala,Thiruvananthapuram,Thiruvananthapuram
Kerala,Thiruvananthapuram,Chirayinkeezhu
Kerala,Thiruvananthapuram,Nedumangad
Kerala,Thiruvananthapuram,Neyyattinkara
