STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Maharashtra,Nandurbar,Nandurbar
Maharashtra,Nandurbar,Akkalkuwa
Maharashtra,Nandurbar,Akrani
Maharashtra,Nandurbar,Talode
Maharashtra,Nandurbar,Shahade
Maharashtra,Nandurbar,Nawapur
Maharashtra,Dhule,Dhule
Maharashtra,Dhule,Shirpur
Maharashtra,Dhule,Sindkhede
Maharashtra,Dhule,Sakri
Maharashtra,Jalgaon,Jalgaon
Maharashtra,Jalgaon,Chopda
Maharashtra,Jalgaon,Yawal
Maharashtra,Jalgaon,Raver
Maharashtra,Jalgaon,Muktainagar
Maharashtra,Jalgaon,Bodvad
Maharashtra,Jalgaon,Bhusawal
Maharashtra,Jalgaon,Erandol
Maharashtra,Jalgaon,Dharangaon
Maharashtra,Jalgaon,Amalner
Maharashtra,Jalgaon,Parola
Maharashtra,Jalgaon,Bhadgaon
Maharashtra,Jalgaon,Chalisgaon
Maharashtra,Jalgaon,Pachora
Maharashtra,Jalgaon,Jamner
Maharashtra,Buldana,Buldana
Maharashtra,Buldana,Jalgaon (Jamod)
Maharashtra,Buldana,Sangrampur
Maharashtra,Buldana,Shegaon
Maharashtra,Buldana,Nandura
Maharashtra,Buldana,Malkapur
Maharashtra,Buldana,Motala
Maharashtra,Buldana,Khamgaon
Maharashtra,Buldana,Mehkar
Maharashtra,Buldana,Chikhli
Maharashtra,Buldana,Deolgaon Raja
Maharashtra,Buldana,Sindkhed Raja
Maharashtra,Buldana,Lonar
Maharashtra,Akola,Akola
Maharashtra,Akola,Telhara
Maharashtra,Akola,Ako
Maharashtra,Akola,Balapur
Maharashtra,Akola,Murtijapur
Maharashtra,Akola,Patur
Maharashtra,Akola,Barshitakli
Maharashtra,Washim,Washim
Maharashtra,Washim,Malegaon
Maharashtra,Washim,Mangrulpir
Maharashtra,Washim,Karanja
Maharashtra,Washim,Manora
Maharashtra,Washim,Risod
Maharashtra,Amravati,Amravati
Maharashtra,Amravati,Dharni
Maharashtra,Amravati,Chikhaldara
Maharashtra,Amravati,Anjangaon Surji
Maharashtra,Amravati,Achalpur
Maharashtra,Amravati,Chandurbazar
Maharashtra,Amravati,Morshi
Maharashtra,Amravati,Warud
Maharashtra,Amravati,Teosa
Maharashtra,Amravati,Bhatkuli
Maharashtra,Amravati,Daryapur
Maharashtra,Amravati,Nandgaon-Khandeshwar
Maharashtra,Amravati,Chandur Railway
Maharashtra,Amravati,Dhamangaon Railway
Maharashtra,Wardha,Wardha
Maharashtra,Wardha,Ashti
Maharashtra,Wardha,Karanja
Maharashtra,Wardha,Arvi
Maharashtra,Wardha,Seloo
Maharashtra,Wardha,Deoli
Maharashtra,Wardha,Hingangha
Maharashtra,Wardha,Samudrapur
Maharashtra,Nagpur,Nagpur
Maharashtra,Nagpur,Narkhed
Maharashtra,Nagpur,Katol
Maharashtra,Nagpur,Kalameshwar
Maharashtra,Nagpur,Savner
Maharashtra,Nagpur,Parseoni
Maharashtra,Nagpur,Ramtek
Maharashtra,Nagpur,Mauda
Maharashtra,Nagpur,Kamptee
Maharashtra,Nagpur,Nagpur (Rural)
Maharashtra,Nagpur,Nagpur (Urban)
Maharashtra,Nagpur,Hingna
Maharashtra,Nagpur,Umred
Maharashtra,Nagpur,Kuhi
Maharashtra,Nagpur,Bhiwapur
Maharashtra,Bhandara,Bhandara
Maharashtra,Bhandara,Tumsar
Maharashtra,Bhandara,Mohadi
Maharashtra,Bhandara,Sakoli
Maharashtra,Bhandara,Lakhani
Maharashtra,Bhandara,Pauni
Maharashtra,Bhandara,Lakhandur
Maharashtra,Gondiya,Gondiya
Maharashtra,Gondiya,Tirora
Maharashtra,Gondiya,Goregaon
Maharashtra,Gondiya,Amgaon
Maharashtra,Gondiya,Salekasa
Maharashtra,Gondiya,Sadak-Arjuni
Maharashtra,Gondiya,Arjuni Morgaon
Maharashtra,Gondiya,Deori
Maharashtra,Gadchiroli,Gadchiroli
Maharashtra,Gadchiroli,Desaiganj (Vadasa
Maharashtra,Gadchiroli,Armori
Maharashtra,Gadchiroli,Kurkheda
Maharashtra,Gadchiroli,Korchi
Maharashtra,Gadchiroli,Dhanora
Maharashtra,Gadchiroli,Chamorshi
Maharashtra,Gadchiroli,Mulchera
Maharashtra,Gadchiroli,Etapalli
Maharashtra,Gadchiroli,Bhamragad
Maharashtra,Gadchiroli,Aheri
Maharashtra,Gadchiroli,Sironcha
Maharashtra,Chandrapur,Chandrapur
Maharashtra,Chandrapur,Warora
Maharashtra,Chandrapur,Chimur
Maharashtra,Chandrapur,Nagbhir
Maharashtra,Chandrapur,Brahmapuri
Maharashtra,Chandrapur,Sawali
Maharashtra,Chandrapur,Sindewahi
Maharashtra,Chandrapur,Bhadravati
Maharashtra,Chandrapur,Mul
Maharashtra,Chandrapur,Pombhurna
Maharashtra,Chandrapur,Ballarpur
Maharashtra,Chandrapur,Korpana
Maharashtra,Chandrapur,Jiwati
Maharashtra,Chandrapur,Rajura
Maharashtra,Chandrapur,Gondpipri
Maharashtra,Yavatmal,Yavatmal
Maharashtra,Yavatmal,Ner
Maharashtra,Yavatmal,Babulgaon
Maharashtra,Yavatmal,Kalamb
Maharashtra,Yavatmal,Darwha
Maharashtra,Yavatmal,Digras
Maharashtra,Yavatmal,Pusad
Maharashtra,Yavatmal,Umarkhed
Maharashtra,Yavatmal,Mahagaon
Maharashtra,Yavatmal,Arni
Maharashtra,Yavatmal,Ghatanji
Maharashtra,Yavatmal,Kelapur
Maharashtra,Yavatmal,Ralegaon
Maharashtra,Yavatmal,Maregaon
Maharashtra,Yavatmal,Zari-Jamani
Maharashtra,Yavatmal,Wani
Maharashtra,Nanded,Nanded
Maharashtra,Nanded,Mahoor
Maharashtra,Nanded,Kinwa
Maharashtra,Nanded,Himayatnagar
Maharashtra,Nanded,Hadgaon
Maharashtra,Nanded,Ardhapur
Maharashtra,Nanded,Mudkhed
Maharashtra,Nanded,Bhokar
Maharashtra,Nanded,Umri
Maharashtra,Nanded,Dharmabad
Maharashtra,Nanded,Biloli
Maharashtra,Nanded,Naigaon (Khairgaon
Maharashtra,Nanded,Loha
Maharashtra,Nanded,Kandhar
Maharashtra,Nanded,Mukhed
Maharashtra,Nanded,Deglur
Maharashtra,Hingoli,Hingoli
Maharashtra,Hingoli,Sengaon
Maharashtra,Hingoli,Aundha (Nagnath
Maharashtra,Hingoli,Kalamnuri
Maharashtra,Hingoli,Basmath
Maharashtra,Parbhani,Parbhani
Maharashtra,Parbhani,Sailu
Maharashtra,Parbhani,Jintur
Maharashtra,Parbhani,Manwath
Maharashtra,Parbhani,Pathri
Maharashtra,Parbhani,Sonpeth
Maharashtra,Parbhani,Gangakhed
Maharashtra,Parbhani,Palam
Maharashtra,Parbhani,Purna
Maharashtra,Jalna,Jalna
Maharashtra,Jalna,Bhokardan
Maharashtra,Jalna,Jafferabad
Maharashtra,Jalna,Badnapur
Maharashtra,Jalna,Ambad
Maharashtra,Jalna,Ghansawangi
Maharashtra,Jalna,Partur
Maharashtra,Jalna,Mantha
Maharashtra,Aurangabad,Aurangabad
Maharashtra,Aurangabad,Kannad
Maharashtra,Aurangabad,Soegaon
Maharashtra,Aurangabad,Sillod
Maharashtra,Aurangabad,Phulambri
Maharashtra,Aurangabad,Khuldabad
Maharashtra,Aurangabad,Vaijapur
Maharashtra,Aurangabad,Gangapur
Maharashtra,Aurangabad,Paithan
Maharashtra,Nashik,Nashik
Maharashtra,Nashik,Surgana
Maharashtra,Nashik,Kalwan
Maharashtra,Nashik,Deola
Maharashtra,Nashik,Baglan
Maharashtra,Nashik,Malegaon
Maharashtra,Nashik,Nandgaon
Maharashtra,Nashik,Chandvad
Maharashtra,Nashik,Dindori
Maharashtra,Nashik,Pein
Maharashtra,Nashik,Trimbakeshwar
Maharashtra,Nashik,Igatpuri
Maharashtra,Nashik,Sinnar
Maharashtra,Nashik,Niphad
Maharashtra,Nashik,Yevla
Maharashtra,Thane,Thane
Maharashtra,Thane,Talasari
Maharashtra,Thane,Dahanu
Maharashtra,Thane,Vikramgad
Maharashtra,Thane,Jawhar
Maharashtra,Thane,Mokhada
Maharashtra,Thane,Vada
Maharashtra,Thane,Palghar
Maharashtra,Thane,Vasai
Maharashtra,Thane,Bhiwandi
Maharashtra,Thane,Shahapur
Maharashtra,Thane,Kalyan
Maharashtra,Thane,Ulhasnagar
Maharashtra,Thane,Ambarnath
Maharashtra,Thane,Murbad
Maharashtra,Mumbai Suburban,Mumbai Suburban
Maharashtra,Mumbai,Mumbai
Maharashtra,Raigarh,Raigarh
Maharashtra,Raigarh,Uran
Maharashtra,Raigarh,Panvel
Maharashtra,Raigarh,Karja
Maharashtra,Raigarh,Khalapur
Maharashtra,Raigarh,Pen
Maharashtra,Raigarh,Alibag
Maharashtra,Raigarh,Murud
Maharashtra,Raigarh,Roha
Maharashtra,Raigarh,Sudhagad
Maharashtra,Raigarh,Mangaon
Maharashtra,Raigarh,Tala
Maharashtra,Raigarh,Shrivardhan
Maharashtra,Raigarh,Mhasla
Maharashtra,Raigarh,Mahad
Maharashtra,Raigarh,Poladpur
Maharashtra,Pune,Pune
