STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Manipur,Senapati,Senapati
Manipur,Senapati,Mao-Maram
Manipur,Senapati,Paomata
Manipur,Senapati,Purul
Manipur,Senapati,Sadar Hills West
Manipur,Senapati,Saitu-Gamphazol
Manipur,Senapati,Sadar Hills East
Manipur,Tamenglong,Tamenglong
Manipur,Tamenglong,Tamenglong West
Manipur,Tamenglong,Tamenglong North
Manipur,Tamenglong,Nungba
Manipur,Churachandpur,Churachandpur
Manipur,Churachandpur,Tipaimukh
Manipur,Churachandpur,Thanlon
Manipur,Churachandpur,Churachandpur North
Manipur,Churachandpur,Singnga
Manipur,Bishnupur,Bishnupur
Manipur,Bishnupur,Nambol
Manipur,Bishnupur,Moirang
Manipur,Thoubal,Thoubal
Manipur,Thoubal,Lilong
Manipur,Thoubal,Thoubal
Manipur,Thoubal,Kakching
Manipur,Imphal West,Imphal West
Manipur,Imphal West,Lamshang
Manipur,Imphal West,Patsoi
Manipur,Imphal West,Lamphelpa
Manipur,Imphal West,Wangoi
Manipur,Imphal East,Imphal East
Manipur,Imphal East,Jiribam
Manipur,Imphal East,Sawombung
Manipur,Imphal East,Porompa
Manipur,Imphal East,Keirao Bitra
Manipur,Ukhrul,Ukhrul
Manipur,Ukhrul,Ukhrul North
Manipur,Ukhrul,Ukhurl Central
Manipur,Ukhrul,Kamjong-Chassad
Manipur,Ukhrul,Phungyar-Phaisa
Manipur,Ukhrul,Ukhrul South
Manipur,Chandel,Chandel
Manipur,Chandel,Machi
Manipur,Chandel,Tengnoupal
Manipur,Chandel,Chandel
Manipur,Chandel,Chakpikarong
