STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Meghalaya,West Garo Hills,West Garo Hills
Meghalaya,West Garo Hills,Selsella
Meghalaya,West Garo Hills,Dadenggiri
Meghalaya,West Garo Hills,Tikrikilla
Meghalaya,West Garo Hills,Rongram
Meghalaya,West Garo Hills,Betasing
Meghalaya,West Garo Hills,Zikzak
Meghalaya,West Garo Hills,Gambegre
Meghalaya,West Garo Hills,Dalu
Meghalaya,East Garo Hills,East Garo Hills
Meghalaya,East Garo Hills,Resubelpara
Meghalaya,East Garo Hills,Dambo Rongjeng
Meghalaya,East Garo Hills,Kharkutta
Meghalaya,East Garo Hills,Songsak
Meghalaya,East Garo Hills,Samanda
Meghalaya,South Garo Hills,South Garo Hills
Meghalaya,South Garo Hills,Chokpo
Meghalaya,South Garo Hills,Gasuapara
Meghalaya,South Garo Hills,Baghmara
Meghalaya,South Garo Hills,Rongara
Meghalaya,West Khasi Hills,West Khasi Hills
Meghalaya,West Khasi Hills,Mawshynru
Meghalaya,West Khasi Hills,Nongstoin
Meghalaya,West Khasi Hills,Mawthadraishan
Meghalaya,West Khasi Hills,Mairang
Meghalaya,West Khasi Hills,Ranikor
Meghalaya,West Khasi Hills,Mawkyrwa
Meghalaya,Ribhoi,Ribhoi
Meghalaya,Ribhoi,Umling
Meghalaya,Ribhoi,Jirang
Meghalaya,Ribhoi,Umsning
Meghalaya,East Khasi Hills,East Khasi Hills
Meghalaya,East Khasi Hills,Mawphlang
Meghalaya,East Khasi Hills,Mylliem
Meghalaya,East Khasi Hills,Mawryngkneng
Meghalaya,East Khasi Hills,Mawkynrew
Meghalaya,East Khasi Hills,Khatarshnong Laitkroh
Meghalaya,East Khasi Hills,Mawsynram
Meghalaya,East Khasi Hills,Shella Bholaganj
Meghalaya,East Khasi Hills,Pynursla
Meghalaya,Jaintia Hills,Jaintia Hills
Meghalaya,Jaintia Hills,Thadlaskein
Meghalaya,Jaintia Hills,Laskein
Meghalaya,Jaintia Hills,Amlarem
Meghalaya,Jaintia Hills,Khliehria
Meghalaya,Jaintia Hills,Saipung
