STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
Nagaland,Mon,Mon
Nagaland,Mon,Naginimora
Nagaland,Mon,Tizi
Nagaland,Mon,Hunta
Nagaland,Mon,Shangnyu
Nagaland,Mon,Mon Sadar
Nagaland,Mon,Wakching
Nagaland,Mon,Aboi
Nagaland,Mon,Longshen
Nagaland,Mon,Phomching
Nagaland,Mon,Chen
Nagaland,Mon,Angjangyang
Nagaland,Mon,Mopong
Nagaland,Mon,Tobu
Nagaland,Mon,Monyakshu
Nagaland,Mokokchung,Mokokchung
Nagaland,Mokokchung,Longchem
Nagaland,Mokokchung,Alongkima
Nagaland,Mokokchung,Tuli
Nagaland,Mokokchung,Changtongya
Nagaland,Mokokchung,Chuchuyimlang
Nagaland,Mokokchung,Kubolong
Nagaland,Mokokchung,Mangkolemba
Nagaland,Mokokchung,Merangmen
Nagaland,Mokokchung,Ongpangkong
Nagaland,Zunheboto,Zunheboto
Nagaland,Zunheboto,V.K.
Nagaland,Zunheboto,Akuluto
Nagaland,Zunheboto,Suruhuto
Nagaland,Zunheboto,Asuto
Nagaland,Zunheboto,Aghunato
Nagaland,Zunheboto,Zunheboto Sadar
Nagaland,Zunheboto,Atoizu
Nagaland,Zunheboto,Akuhaito
Nagaland,Zunheboto,Pughoboto
Nagaland,Zunheboto,Ghathashi
Nagaland,Zunheboto,Satakha
Nagaland,Zunheboto,Saptiqa
Nagaland,Zunheboto,Satoi
Nagaland,Wokha,Wokha
Nagaland,Wokha,Changpang
Nagaland,Wokha,Aitepyong
Nagaland,Wokha,Bhandari
Nagaland,Wokha,Baghty
Nagaland,Wokha,Sungro
Nagaland,Wokha,Sanis
Nagaland,Wokha,Lotsu
Nagaland,Wokha,Ralan
Nagaland,Wokha,Wozhuro
Nagaland,Wokha,Wokha Sadar
Nagaland,Wokha,Englan
Nagaland,Wokha,Chukitong
Nagaland,Dimapur,Dimapur
Nagaland,Dimapur,Niuland
Nagaland,Dimapur,Aquqhnaqua
Nagaland,Dimapur,Kuhoboto
Nagaland,Dimapur,Nihokhu
Nagaland,Dimapur,Dimapur Sadar
Nagaland,Dimapur,Chumukedima
Nagaland,Dimapur,Dhansiripar
Nagaland,Dimapur,Medziphema
Nagaland,Phek,Phek
Nagaland,Phek,Sekruzu
Nagaland,Phek,Phek Sadar
Nagaland,Phek,Khuza
Nagaland,Phek,Meluri
Nagaland,Phek,Phor
Nagaland,Phek,Phokhungri
Nagaland,Phek,Chozuba
Nagaland,Phek,Chetheba
Nagaland,Phek,Sakraba
Nagaland,Phek,Pfutsero
Nagaland,Phek,Zuketsa
Nagaland,Phek,Khezhakeno
Nagaland,Phek,Chizami
Nagaland,Phek,Razieba
Nagaland,Tuensang,Tuensang
Nagaland,Tuensang,Noksen
Nagaland,Tuensang,Chare
Nagaland,Tuensang,Longkhim
Nagaland,Tuensang,Tuensang Sadar
Nagaland,Tuensang,Ngoungchung
Nagaland,Tuensang,Sangsangnyu
Nagaland,Tuensang,Sotokur
Nagaland,Tuensang,Noklak
Nagaland,Tuensang,Chingmei
Nagaland,Tuensang,Nokhu
Nagaland,Tuensang,Panso
Nagaland,Tuensang,Shamator
Nagaland,Tuensang,Tsurungto
Nagaland,Tuensang,Chessore
Nagaland,Tuensang,Mangko
Nagaland,Tuensang,Thonoknyu
Nagaland,Longleng,Longleng
Nagaland,Longleng,Tamlu
Nagaland,Longleng,Namsang
Nagaland,Longleng,Yongnyah
Nagaland,Longleng,Sakshi
Nagaland,Kiphire,Kiphire
Nagaland,Kiphire,Seyochung
Nagaland,Kiphire,Amahator
Nagaland,Kiphire,Kiphire Sadar
Nagaland,Kiphire,Kiusam
Nagaland,Kiphire,Sitimi
Nagaland,Kiphire,Longmatra
Nagaland,Kiphire,Pungro
Nagaland,Kiphire,Khongsa
Nagaland,Kohima,Kohima
Nagaland,Kohima,Tseminyu
Nagaland,Kohima,Tsogin
Nagaland,Kohima,Chiephobozou
Nagaland,Kohima,Botsa
Nagaland,Kohima,Kezocha
Nagaland,Kohima,Jakhama
Nagaland,Kohima,Kohima Sadar
Nagaland,Kohima,Sechu-Zubza
Nagaland,Peren,Peren
Nagaland,Peren,Pedi (Ngwalwa
Nagaland,Peren,Jalukie
Nagaland,Peren,Athibung
Nagaland,Peren,Kebai Khelma
Nagaland,Peren,Nsong
Nagaland,Peren,Tening
