STATE NAME,DISTRICT NAME,SUB-DISTRICT NAME
West Bengal,Darjiling,Darjiling
West Bengal,Darjiling,Darjeeling Pulbazar
West Bengal,Darjiling,Rangli Ranglio
West Bengal,Darjiling,Kalimpong -I
West Bengal,Darjiling,Kalimpong - II
West Bengal,Darjiling,Gorubathan
West Bengal,Darjiling,Jorebunglow Sukiapokhri
West Bengal,Darjiling,Mirik
West Bengal,Darjiling,Kurseong
West Bengal,Darjiling,Matigara
West Bengal,Darjiling,Naxalbari
West Bengal,Darjiling,Phansidewa
West Bengal,Darjiling,Kharibari
West Bengal,Jalpaiguri,Jalpaiguri
West Bengal,Jalpaiguri,Rajganj
West Bengal,Jalpaiguri,Mal
West Bengal,Jalpaiguri,Matiali
West Bengal,Jalpaiguri,Nagrakata
West Bengal,Jalpaiguri,Madariha
West Bengal,Jalpaiguri,Kalchini
West Bengal,Jalpaiguri,Kumargram
West Bengal,Jalpaiguri,Alipurduar - I
West Bengal,Jalpaiguri,Alipurduar - II
West Bengal,Jalpaiguri,Falakata
West Bengal,Jalpaiguri,Dhupguri
West Bengal,Jalpaiguri,Maynaguri
West Bengal,Jalpaiguri,Jalpaiguri
West Bengal,Koch Bihar,Koch Bihar
West Bengal,Koch Bihar,Haldibari
West Bengal,Koch Bihar,Mekliganj
West Bengal,Koch Bihar,Mathabhanga - I
West Bengal,Koch Bihar,Mathabhanga - II
West Bengal,Koch Bihar,Cooch Behar - I
West Bengal,Koch Bihar,Cooch Behar - II
West Bengal,Koch Bihar,Tufanganj - I
West Bengal,Koch Bihar,Tufanganj - II
West Bengal,Koch Bihar,Dinhata - I
West Bengal,Koch Bihar,Dinhata - II
West Bengal,Koch Bihar,Sitai
West Bengal,Koch Bihar,Sitalkuchi
West Bengal,Uttar Dinajpur,Uttar Dinajpur
West Bengal,Uttar Dinajpur,Chopra
West Bengal,Uttar Dinajpur,Islampur
West Bengal,Uttar Dinajpur,Goalpokhar - I
West Bengal,Uttar Dinajpur,Goalpokhar - II
West Bengal,Uttar Dinajpur,Karandighi
West Bengal,Uttar Dinajpur,Raiganj
West Bengal,Uttar Dinajpur,Hemtabad
West Bengal,Uttar Dinajpur,Kaliaganj
West Bengal,Uttar Dinajpur,Itahar
West Bengal,Dakshin Dinajpur,Dakshin Dinajpur
West Bengal,Dakshin Dinajpur,Kushmundi
West Bengal,Dakshin Dinajpur,Gangarampur
West Bengal,Dakshin Dinajpur,Kumarganj
West Bengal,Dakshin Dinajpur,Hilli
West Bengal,Dakshin Dinajpur,Balurgha
