state,district,name
Andaman & Nicobar Islands,Nicobars,Nicobars
Andaman & Nicobar Islands,Nicobars,Car Nicobar
Andaman & Nicobar Islands,Nicobars,Nancowry
Andaman & Nicobar Islands,Nicobars,Great Nicobar
Andaman & Nicobar Islands,North  & Middle Andaman,North  & Middle Andaman
Andaman & Nicobar Islands,North  & Middle Andaman,Diglipur
Andaman & Nicobar Islands,North  & Middle Andaman,Mayabunder
Andaman & Nicobar Islands,North  & Middle Andaman,Ranga
Andaman & Nicobar Islands,South Andaman,South Andaman
Andaman & Nicobar Islands,South Andaman,Ferrargunj
Andaman & Nicobar Islands,South Andaman,Port Blair
Andaman & Nicobar Islands,South Andaman,Little Andaman
Andhra Pradesh,Adilabad,Adilabad
Andhra Pradesh,Adilabad,Tamsi
Andhra Pradesh,Adilabad,Jainad
Andhra Pradesh,Adilabad,Bela
Andhra Pradesh,Adilabad,Talamadugu
Andhra Pradesh,Adilabad,Gudihathnoor
Andhra Pradesh,Adilabad,Inderavelly
Andhra Pradesh,Adilabad,Narnoor
Andhra Pradesh,Adilabad,Kerameri
Andhra Pradesh,Adilabad,Wankdi
Andhra Pradesh,Adilabad,Sirpur (T
Andhra Pradesh,Adilabad,Kouthala
Andhra Pradesh,Adilabad,Bejjur
Andhra Pradesh,Adilabad,Kagaznagar
Andhra Pradesh,Adilabad,Asifabad
Andhra Pradesh,Adilabad,Jainoor
Andhra Pradesh,Adilabad,Utnoor
Andhra Pradesh,Adilabad,Ichoda
Andhra Pradesh,Adilabad,Bazarhathnoor
Andhra Pradesh,Adilabad,Boath
Andhra Pradesh,Adilabad,Neradigonda
Andhra Pradesh,Adilabad,Sirpur
Andhra Pradesh,Adilabad,Rebbana
Andhra Pradesh,Adilabad,Bhimini
Andhra Pradesh,Adilabad,Dahegaon
Andhra Pradesh,Adilabad,Vemanpalle
Andhra Pradesh,Adilabad,Nennal
Andhra Pradesh,Adilabad,Tandur
Andhra Pradesh,Adilabad,Tiryani
Andhra Pradesh,Adilabad,Jannaram
Andhra Pradesh,Adilabad,Kaddam (Peddur
Andhra Pradesh,Adilabad,Sarangapur
Andhra Pradesh,Adilabad,Kuntala
Andhra Pradesh,Adilabad,Kubeer
Andhra Pradesh,Adilabad,Bhainsa
Andhra Pradesh,Adilabad,Tanoor
Andhra Pradesh,Adilabad,Mudhole
Andhra Pradesh,Adilabad,Lokeswaram
Andhra Pradesh,Adilabad,Dilawarpur
Andhra Pradesh,Adilabad,Nirmal
Andhra Pradesh,Adilabad,Laxmanchanda
Andhra Pradesh,Adilabad,Mamda
Andhra Pradesh,Adilabad,Khanapur
Andhra Pradesh,Adilabad,Dandepalle
Andhra Pradesh,Adilabad,Kasipe
Andhra Pradesh,Adilabad,Bellampalle
Andhra Pradesh,Adilabad,Kotapalle
Andhra Pradesh,Adilabad,Mandamarri
Andhra Pradesh,Adilabad,Luxettipe
Andhra Pradesh,Adilabad,Mancherial
Andhra Pradesh,Adilabad,Jaipur
Andhra Pradesh,Adilabad,Chennur
Andhra Pradesh,Nizamabad,Nizamabad
Andhra Pradesh,Nizamabad,Ranjal
Andhra Pradesh,Nizamabad,Navipe
Andhra Pradesh,Nizamabad,Nandipe
Andhra Pradesh,Nizamabad,Armur
Andhra Pradesh,Nizamabad,Balkonda
Andhra Pradesh,Nizamabad,Mortad
Andhra Pradesh,Nizamabad,Kammarpalle
Andhra Pradesh,Nizamabad,Bheemgal
Andhra Pradesh,Nizamabad,Velpur
Andhra Pradesh,Nizamabad,Jakranpalle
Andhra Pradesh,Nizamabad,Makloor
Andhra Pradesh,Nizamabad,Yedpalle
Andhra Pradesh,Nizamabad,Bodhan
Andhra Pradesh,Nizamabad,Kotgiri
Andhra Pradesh,Nizamabad,Madnoor
