,state,district
0,Andaman & Nicobar Islands,Nicobars
4,Andaman & Nicobar Islands,North  & Middle Andaman
8,Andaman & Nicobar Islands,South Andaman
12,Andhra Pradesh,Adilabad
64,Andhra Pradesh,Nizamabad
100,Andhra Pradesh,Karimnagar
157,Andhra Pradesh,Medak
203,Andhra Pradesh,Hyderabad
220,Andhra Pradesh,Rangareddy
258,Andhra Pradesh,Mahbubnagar
322,Andhra Pradesh,Nalgonda
381,Andhra Pradesh,Warangal
432,Andhra Pradesh,Khammam
479,Andhra Pradesh,Srikakulam
517,Andhra Pradesh,Vizianagaram
551,Andhra Pradesh,Visakhapatnam
595,Andhra Pradesh,East Godavari
656,Andhra Pradesh,West Godavari
703,Andhra Pradesh,Krishna
754,Andhra Pradesh,Guntur
811,Andhra Pradesh,Prakasam
868,Andhra Pradesh,Sri Potti Sriramulu Nellore
915,Andhra Pradesh,Y.S.R.
967,Andhra Pradesh,Kurnool
1021,Andhra Pradesh,Anantapur
1084,Andhra Pradesh,Chittoor
1150,Arunachal Pradesh,Tawang
1160,Arunachal Pradesh,West Kameng
1174,Arunachal Pradesh,East Kameng
1188,Arunachal Pradesh,Papum Pare
1204,Arunachal Pradesh,Upper Subansiri
1220,Arunachal Pradesh,West Siang
1242,Arunachal Pradesh,East Siang
1258,Arunachal Pradesh,Upper Siang
1270,Arunachal Pradesh,Changlang
1285,Arunachal Pradesh,Tirap
1297,Arunachal Pradesh,Lower Subansiri
1306,Arunachal Pradesh,Kurung Kumey
1321,Arunachal Pradesh,Dibang Valley
1327,Arunachal Pradesh,Lower Dibang Valley
1334,Arunachal Pradesh,Lohit
1343,Arunachal Pradesh,Anjaw
1352,Assam,Kokrajhar
1362,Assam,Dhubri
1372,Assam,Goalpara
1378,Assam,Barpeta
1387,Assam,Morigaon
1393,Assam,Nagaon
1403,Assam,Sonitpur
1411,Assam,Lakhimpur
1419,Assam,Dhemaji
1425,Assam,Tinsukia
1429,Assam,Dibrugarh
1437,Assam,Sivasagar
1443,Assam,Jorhat
1450,Assam,Golaghat
1456,Assam,Karbi Anglong
1461,Assam,Dima Hasao
1466,Assam,Cachar
1472,Assam,Karimganj
1477,Assam,Hailakandi
1481,Assam,Bongaigaon
1487,Assam,Chirang
1494,Assam,Kamrup
1507,Assam,Kamrup (Metropolitan)
1514,Assam,Nalbari
1523,Assam,Baksa
1537,Assam,Darrang
1544,Assam,Udalguri
1553,Bihar,Pashchim Champaran
1572,Bihar,Purba Champaran
1600,Bihar,Sheohar
1605,Bihar,Sitamarhi
1623,Bihar,Madhubani
1644,Bihar,Supaul
1655,Bihar,Araria
1664,Bihar,Kishanganj
1671,Bihar,Purnia
1686,Bihar,Katihar
1702,Bihar,Madhepura
1715,Bihar,Saharsa
1726,Bihar,Darbhanga
1744,Bihar,Muzaffarpur
1761,Bihar,Gopalganj
1775,Bihar,Siwan
1794,Bihar,Saran
1815,Bihar,Vaishali
1831,Bihar,Samastipur
1851,Bihar,Begusarai
1869,Bihar,Khagaria
1876,Bihar,Bhagalpur
1893,Bihar,Banka
1904,Bihar,Munger
1913,Bihar,Lakhisarai
1920,Bihar,Sheikhpura
1926,Bihar,Nalanda
1947,Bihar,Patna
1971,Bihar,Bhojpur
1986,Bihar,Buxar
1997,Bihar,Kaimur (Bhabua)
2009,Bihar,Rohtas
2028,Bihar,Aurangabad
2039,Bihar,Gaya
2064,Bihar,Nawada
2078,Bihar,Jamui
2088,Bihar,Jehanabad
2096,Bihar,Arwal
2101,Chandigarh,Chandigarh
2102,Chhattisgarh,Koriya
2108,Chhattisgarh,Surguja
2128,Chhattisgarh,Jashpur
2137,Chhattisgarh,Raigarh
2146,Chhattisgarh,Korba
2152,Chhattisgarh,Janjgir - Champa
2163,Chhattisgarh,Bilaspur
2174,Chhattisgarh,Kabeerdham
2179,Chhattisgarh,Rajnandgaon
2188,Chhattisgarh,Durg
2201,Chhattisgarh,Raipur
2216,Chhattisgarh,Mahasamund
2221,Chhattisgarh,Dhamtari
2226,Chhattisgarh,Uttar Bastar Kanker
2234,Chhattisgarh,Bastar
2246,Chhattisgarh,Narayanpur
2248,Chhattisgarh,Dakshin Bastar Dantewada
2256,Chhattisgarh,Bijapur
2260,Dadra & Nagar Haveli,Dadra & Nagar Haveli
2261,Daman & Diu,Diu
2262,Daman & Diu,Daman
2263,Delhi,North West
2267,Delhi,North
2271,Delhi,North East
2275,Delhi,East
2279,Delhi,New Delhi
2283,Delhi,Central
2287,Delhi,West
2291,Delhi,South West
2295,Delhi,South
2299,Goa,North Goa
2306,Goa,South Goa
2312,Gujarat,Kachchh
2323,Gujarat,Banas Kantha
2336,Gujarat,Patan
2344,Gujarat,Mahesana
2353,Gujarat,Sabar Kantha
2367,Gujarat,Gandhinagar
2371,Gujarat,Ahmadabad
2383,Gujarat,Surendranagar
2394,Gujarat,Rajkot
2408,Gujarat,Jamnagar
2418,Gujarat,Porbandar
2422,Gujarat,Junagadh
2436,Gujarat,Amreli
2447,Gujarat,Bhavnagar
2458,Gujarat,Anand
2467,Gujarat,Kheda
2477,Gujarat,Panch Mahals
2489,Gujarat,Dohad
2497,Gujarat,Vadodara
2509,Gujarat,Narmada
2514,Gujarat,Bharuch
2522,Gujarat,The Dangs
2523,Gujarat,Navsari
2529,Gujarat,Valsad
2534,Gujarat,Surat
2545,Gujarat,Tapi
2551,Haryana,Panchkula
2553,Haryana,Ambala
2556,Haryana,Yamunanagar
2560,Haryana,Kurukshetra
2564,Haryana,Kaithal
2567,Haryana,Karnal
2572,Haryana,Panipat
2575,Haryana,Sonipat
2579,Haryana,Jind
2583,Haryana,Fatehabad
2586,Haryana,Sirsa
2590,Haryana,Hisar
2594,Haryana,Bhiwani
2601,Haryana,Rohtak
2604,Haryana,Jhajjar
2608,Haryana,Mahendragarh
2610,Haryana,Rewari
2613,Haryana,Gurgaon
2618,Haryana,Mewat
2623,Haryana,Faridabad
2625,Haryana,Palwal
2629,Himachal Pradesh,Chamba
2639,Himachal Pradesh,Kangra
2660,Himachal Pradesh,Lahul & Spiti
2664,Himachal Pradesh,Kullu
2670,Himachal Pradesh,Mandi
2687,Himachal Pradesh,Hamirpur
2694,Himachal Pradesh,Una
2699,Himachal Pradesh,Bilaspur
2706,Himachal Pradesh,Solan
2715,Himachal Pradesh,Sirmaur
2726,Himachal Pradesh,Shimla
2744,Himachal Pradesh,Kinnaur
2751,Jammu & Kashmir,Kupwara
2754,Jammu & Kashmir,Badgam
2761,Jammu & Kashmir,Leh(Ladakh)
2765,Jammu & Kashmir,Kargil
2768,Jammu & Kashmir,Punch
2773,Jammu & Kashmir,Rajouri
2781,Jammu & Kashmir,Kathua
2786,Jammu & Kashmir,Baramula
2795,Jammu & Kashmir,Bandipore
2799,Jammu & Kashmir,Srinagar
2802,Jammu & Kashmir,Ganderbal
2805,Jammu & Kashmir,Pulwama
2809,Jammu & Kashmir,Shupiyan
2811,Jammu & Kashmir,Anantnag
2817,Jammu & Kashmir,Kulgam
2820,Jammu & Kashmir,Doda
2824,Jammu & Kashmir,Ramban
2826,Jammu & Kashmir,Kishtwar
2830,Jammu & Kashmir,Udhampur
2834,Jammu & Kashmir,Reasi
2836,Jammu & Kashmir,Jammu
2840,Jammu & Kashmir,Samba
2841,Jharkhand,Garhwa
2861,Jharkhand,Chatra
2873,Jharkhand,Kodarma
2879,Jharkhand,Giridih
2892,Jharkhand,Deoghar
2902,Jharkhand,Godda
2911,Jharkhand,Sahibganj
2920,Jharkhand,Pakur
2927,Jharkhand,Dhanbad
2937,Jharkhand,Bokaro
2947,Jharkhand,Lohardaga
2954,Jharkhand,Purbi Singhbhum
2966,Jharkhand,Palamu
2987,Jharkhand,Latehar
2996,Jharkhand,Hazaribagh
3013,Jharkhand,Ramgarh
3019,Jharkhand,Dumka
3029,Jharkhand,Jamtara
3035,Jharkhand,Ranchi
3054,Jharkhand,Khunti
3060,Jharkhand,Gumla
3072,Jharkhand,Simdega
3082,Jharkhand,Pashchimi Singhbhum
3101,Jharkhand,Saraikela-Kharsawan
3111,Karnataka,Belgaum
3121,Karnataka,Bagalkot
3128,Karnataka,Bijapur
3133,Karnataka,Bidar
3139,Karnataka,Raichur
3145,Karnataka,Koppal
3150,Karnataka,Gadag
3155,Karnataka,Dharwad
3160,Karnataka,Uttara Kannada
3172,Karnataka,Haveri
